Time,Step,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,Q_Err,DQ_Norm,Reached
0.230000,1,3.212359,-2.920233,93.326299,5.845305,85.193365,6.832980,101.842317,91.608281,0
0.231000,1,3.239838,-2.941725,93.348578,5.891466,85.160228,6.892140,101.753584,91.880957,0
0.232000,1,3.267410,-2.963251,93.370882,5.937726,85.127049,6.951555,101.664565,92.152555,0
0.233000,1,3.295076,-2.984812,93.393211,5.984084,85.093828,7.011225,101.575261,92.423083,0
0.234000,1,3.322833,-3.006407,93.415566,6.030538,85.060566,7.071150,101.485674,92.692550,0
0.235000,1,3.350682,-3.028035,93.437945,6.077089,85.027264,7.131330,101.395803,92.960964,0
0.236000,1,3.378621,-3.049696,93.460348,6.123734,84.993923,7.191765,101.305650,93.228333,0
0.237000,1,3.406649,-3.071389,93.482774,6.170474,84.960542,7.252455,101.215216,93.494666,0
0.238000,1,3.434767,-3.093114,93.505224,6.217306,84.927123,7.313400,101.124501,93.759970,0
0.239000,1,3.462972,-3.114872,93.527697,6.264229,84.893666,7.374600,101.033507,94.024255,0
0.240000,1,3.491264,-3.136660,93.550193,6.311243,84.860172,7.436055,100.942234,94.287527,0
0.241000,1,3.519642,-3.158479,93.572710,6.358347,84.826641,7.497765,100.850683,94.549796,0
0.242000,1,3.548105,-3.180329,93.595250,6.405539,84.793074,7.559730,100.758855,94.811069,0
0.243000,1,3.576654,-3.202208,93.617811,6.452819,84.759471,7.621950,100.666751,95.071354,0
0.244000,1,3.605285,-3.224118,93.640393,6.500185,84.725833,7.684425,100.574372,95.330660,0
0.245000,1,3.634000,-3.246056,93.662996,6.547637,84.692161,7.747155,100.481719,95.588995,0
0.246000,1,3.662796,-3.268023,93.685620,6.595173,84.658454,7.810140,100.388792,95.846366,0
0.247000,1,3.691674,-3.290019,93.708263,6.642792,84.624714,7.873380,100.295592,96.102782,0
0.248000,1,3.720633,-3.312043,93.730927,6.690494,84.590942,7.936875,100.202121,96.358250,0
0.249000,1,3.749671,-3.334094,93.753609,6.738277,84.557137,8.000625,100.108378,96.612779,0
0.250000,1,3.778787,-3.356172,93.776311,6.786141,84.523300,8.064630,100.014365,96.866376,0
0.251000,1,3.807982,-3.378277,93.799031,6.834084,84.489432,8.128890,99.920083,97.119049,0
0.252000,1,3.837254,-3.400409,93.821770,6.882105,84.455533,8.193405,99.825532,97.370806,0
0.253000,1,3.866603,-3.422567,93.844526,6.930204,84.421605,8.258175,99.730713,97.621655,0
0.254000,1,3.896027,-3.444750,93.867300,6.978379,84.387646,8.323200,99.635627,97.871603,0
0.255000,1,3.925527,-3.466958,93.890092,7.026630,84.353659,8.388480,99.540276,98.120659,0
0.256000,1,3.955100,-3.489192,93.912900,7.074956,84.319642,8.454015,99.444658,98.368831,0
0.257000,1,3.984747,-3.511450,93.935725,7.123355,84.285598,8.519805,99.348776,98.616124,0
0.258000,1,4.014467,-3.533732,93.958566,7.171827,84.251526,8.585850,99.252630,98.862549,0
0.259000,1,4.044258,-3.556037,93.981424,7.220370,84.217428,8.652150,99.156221,99.108111,0
0.260000,1,4.074121,-3.578367,94.004296,7.268985,84.183302,8.718705,99.059550,99.352819,0
0.261000,1,4.104054,-3.600719,94.027185,7.317669,84.149151,8.785515,98.962616,99.596681,0
0.262000,1,4.134056,-3.623093,94.050088,7.366422,84.114974,8.852580,98.865423,99.839703,0
0.263000,1,4.164128,-3.645490,94.073005,7.415243,84.080772,8.919900,98.767969,100.081893,0
0.264000,1,4.194267,-3.667909,94.095938,7.464131,84.046546,8.987475,98.670255,100.323259,0
0.265000,1,4.224475,-3.690350,94.118884,7.513085,84.012296,9.055305,98.572283,100.563809,0
0.266000,1,4.254748,-3.712811,94.141843,7.562105,83.978022,9.123390,98.474054,100.803549,0
0.267000,1,4.285088,-3.735294,94.164817,7.611189,83.943725,9.191730,98.375567,101.042487,0
0.268000,1,4.315493,-3.757796,94.187803,7.660336,83.909406,9.260325,98.276823,101.280630,0
