Time,TCP_Z,Error_Z,Joint_V_Norm
0.645,0.654723,0.0967768,0.726027
0.646,0.654728,0.0967718,0.72603
0.647,0.654733,0.0967668,0.726033
0.648,0.654738,0.0967618,0.726036
0.649,0.654743,0.0967568,0.726039
0.65,0.654748,0.0967518,0.726042
0.651,0.654753,0.0967468,0.726046
0.652,0.654758,0.0967418,0.726049
0.653,0.654763,0.0967368,0.726052
0.654,0.654768,0.0967318,0.726055
0.655,0.654773,0.0967268,0.726058
0.656,0.654778,0.0967218,0.726061
0.657,0.654783,0.0967168,0.726064
0.658,0.654788,0.0967118,0.726067
0.659,0.654793,0.0967068,0.726071
0.66,0.654798,0.0967018,0.726074
0.661,0.654803,0.0966968,0.726077
0.662,0.654808,0.0966918,0.72608
0.663,0.654813,0.0966869,0.726083
0.664,0.654818,0.0966819,0.726086
0.665,0.654823,0.0966769,0.726089
0.666,0.654828,0.0966719,0.726092
0.667,0.654833,0.0966669,0.726096
0.668,0.654838,0.0966619,0.726099
0.669,0.654843,0.0966569,0.726102
0.67,0.654848,0.0966519,0.726105
0.671,0.654853,0.0966469,0.726108
0.672,0.654858,0.0966419,0.726111
0.673,0.654863,0.0966369,0.726114
0.674,0.654868,0.0966319,0.726117
0.675,0.654873,0.0966269,0.726121
0.676,0.654878,0.0966219,0.726124
0.677,0.654883,0.0966169,0.726127
0.678,0.654888,0.0966119,0.72613
0.679,0.654893,0.0966069,0.726133
0.68,0.654898,0.0966019,0.726136
0.681,0.654903,0.0965969,0.726139
0.682,0.654908,0.0965919,0.726142
0.683,0.654913,0.0965869,0.726146
0.684,0.654918,0.0965819,0.726149
0.685,0.654923,0.0965769,0.726152
0.686,0.654928,0.0965719,0.726155
0.687,0.654933,0.0965669,0.726158
0.688,0.654938,0.0965619,0.726161
0.689,0.654943,0.0965569,0.726164
0.69,0.654948,0.0965519,0.726167
0.691,0.654953,0.0965469,0.726171
0.692,0.654958,0.0965419,0.726174
0.693,0.654963,0.0965369,0.726177
